fecha,ipc_variacion_mensual,ipc_acumulado,salario_total,privado_reg,privado_no_reg,publico,total_registrado,salario_real_total,salario_real_priv_reg,salario_real_publico,ipc_variacion_anual
2017-01-01,1.6,101.6,104.38,106.34,102.0,102.68,104.98,102.73622047244095,104.66535433070867,101.06299212598427,
2017-02-01,2.1,103.7336,105.76,107.69,104.94,103.08,105.97,101.953465415256,103.81400047814789,99.36992449890874,
2017-03-01,2.4,106.223206,108.82,109.26,110.08,107.24,108.5,102.44465790271853,102.8588800078205,100.95722397985239,
2017-04-01,2.7,109.091233,112.63,112.93,114.61,110.81,112.14,103.24386011843868,103.51885930192026,101.57553173865035,
2017-05-01,1.4,110.61851,114.43,115.18,115.79,112.28,114.09,103.4456168321197,104.12362271015945,101.50199998173903,
2017-06-01,1.2,111.945932,116.45,117.23,116.24,115.3,116.51,104.02343159731788,104.72019653201869,102.99614996282311,
2017-07-01,1.7,113.849013,121.1,122.8,120.74,118.49,121.19,106.36895025168114,107.86215599427287,104.07644025864326,
2017-08-01,1.4,115.442899,123.95,124.55,126.06,121.54,123.43,107.36909855321635,107.88883602100117,105.28148639094728,
2017-09-01,1.9,117.636314,125.71,126.0,127.7,123.89,125.21,106.86325992839252,107.10978244354035,105.31611862643027,
2017-10-01,1.5,119.400859,127.62,128.23,128.5,126.03,127.4,106.88365315696767,107.39453725370602,105.55200444579715,
2017-11-01,1.4,121.072471,129.61,130.04,131.95,127.32,129.03,107.05158565732091,107.40674484127774,105.160156514853,
2017-12-01,3.1,124.825718,131.03,131.01,135.71,127.94,129.86,104.97035554804499,104.95433320880237,102.49490413505973,
2018-01-01,1.8,127.072581,132.48,133.25,136.57,128.45,131.46,104.25537827078526,104.86133117891106,101.08396240098405,25.07143799212599
2018-02-01,2.4,130.122323,133.59,134.31,138.19,129.32,132.44,102.6649362846066,103.21826178894761,99.3834086408064,25.43893492561715
2018-03-01,2.3,133.115136,136.14,136.23,140.7,132.97,135.01,102.27236668262879,102.33997732609458,99.89096957388827,25.316436033760837
2018-04-01,2.7,136.709245,139.81,141.01,144.0,135.01,138.77,102.26813848617186,103.14591379683209,98.75703724353096,25.316435831282625
2018-05-01,2.1,139.580139,141.93,144.47,142.73,137.16,141.74,101.68352103446465,103.50326417141625,98.26612939538626,26.181539599475713
2018-06-01,3.7,144.744604,143.14,146.47,141.02,138.97,143.67,98.89142395940368,101.19202785618178,96.01048754812304,29.298672505580647
2018-07-01,3.1,149.231687,146.9,149.94,145.09,143.01,147.36,98.43753893903244,100.47463981292393,95.83085393921735,31.078595297088786
2018-08-01,3.9,155.051723,151.05,154.2,148.81,147.26,151.61,97.4191044623219,99.45068459510121,94.97475884224774,34.310316479491746
2018-09-01,6.5,165.130085,155.44,157.82,154.02,152.41,155.8,94.13184762788683,95.57313556763444,92.29693062896442,40.37339269232798
2018-10-01,5.4,174.047109,161.12,163.86,156.63,159.53,162.24,92.57263790575229,94.14692432495389,91.65909213694552,45.76704929735891
2018-11-01,3.2,179.616617,165.83,168.06,164.93,162.69,166.05,92.32442007300473,93.56595331043341,90.57625219608718,48.35463050886275
2018-12-01,2.6,184.286649,169.94,170.85,172.61,166.66,169.29,92.21503615272748,92.7088320977609,90.43520021898058,47.63516040821012
2019-01-01,2.9,189.630961,175.19,176.91,177.16,170.98,174.7,92.38470293888348,93.2917278207539,90.16460133849134,49.23043154368605
2019-02-01,3.8,196.836938,179.84,181.76,181.72,175.37,179.37,91.36496524854496,92.34039192379633,89.09405002022537,51.27069165526657
2019-03-01,4.7,206.088274,186.94,188.26,186.59,184.99,187.04,90.70870281537707,91.349205049871,89.76250633260192,54.81956462111115
2019-04-01,3.4,213.095275,191.11,193.47,188.85,188.65,191.67,89.68288949625938,90.7903753379797,88.52847628836446,55.87480934445945
2019-05-01,3.1,219.701229,196.51,201.66,188.44,193.23,198.51,89.44419696441479,91.7882894501241,87.95126039099216,57.40149750101624
2019-06-01,2.7,225.633162,200.44,206.99,188.78,197.23,203.34,88.83445953746816,91.73740161475024,87.4117963209681,55.883643165032936
2019-07-01,2.2,230.597092,209.9,215.86,195.49,209.52,213.49,91.02456504525219,93.60915965063428,90.85977545631842,54.522874220406024
2019-08-01,4.0,239.820975,215.02,221.87,200.52,213.21,218.63,89.6585463385761,92.51484362449949,88.90381669076277,54.67159626468645
2019-09-01,5.9,253.970413,220.77,227.72,203.25,220.8,225.13,86.92744851346129,89.66398774962813,86.93926091304188,53.80020727295089
2019-10-01,3.3,262.351437,227.92,236.31,207.5,227.45,233.0,86.87583441748025,90.07383481570182,86.69668540828309,50.735877491650825
