fecha,ipc_variacion_mensual,ipc_acumulado
2017-01-01,1.6,101.6
2017-02-01,2.1,103.7336
2017-03-01,2.4,106.223206
2017-04-01,2.7,109.091233
2017-05-01,1.4,110.61851
2017-06-01,1.2,111.945932
2017-07-01,1.7,113.849013
2017-08-01,1.4,115.442899
2017-09-01,1.9,117.636314
2017-10-01,1.5,119.400859
2017-11-01,1.4,121.072471
2017-12-01,3.1,124.825718
2018-01-01,1.8,127.072581
2018-02-01,2.4,130.122323
2018-03-01,2.3,133.115136
2018-04-01,2.7,136.709245
2018-05-01,2.1,139.580139
2018-06-01,3.7,144.744604
2018-07-01,3.1,149.231687
2018-08-01,3.9,155.051723
2018-09-01,6.5,165.130085
2018-10-01,5.4,174.047109
2018-11-01,3.2,179.616617
2018-12-01,2.6,184.286649
2019-01-01,2.9,189.630961
2019-02-01,3.8,196.836938
2019-03-01,4.7,206.088274
2019-04-01,3.4,213.095275
2019-05-01,3.1,219.701229
2019-06-01,2.7,225.633162
2019-07-01,2.2,230.597092
2019-08-01,4.0,239.820975
2019-09-01,5.9,253.970413
2019-10-01,3.3,262.351437
2019-11-01,4.3,273.632548
2019-12-01,3.7,283.756953
2020-01-01,2.3,290.283362
2020-02-01,2.0,296.08903
2020-03-01,3.3,305.859968
2020-04-01,1.5,310.447867
2020-05-01,1.5,315.104585
2020-06-01,2.2,322.036886
2020-07-01,1.9,328.155587
2020-08-01,2.7,337.015788
2020-09-01,2.8,346.45223
2020-10-01,3.8,359.617415
2020-11-01,3.2,371.125172
2020-12-01,4.0,385.970179
2021-01-01,4.0,401.408986
2021-02-01,3.6,415.859709
2021-03-01,4.8,435.820975
2021-04-01,4.1,453.689635
2021-05-01,3.3,468.661393
2021-06-01,3.2,483.658558
2021-07-01,3.0,498.168315
2021-08-01,2.5,510.622523
2021-09-01,3.5,528.494311
2021-10-01,3.5,546.991612
2021-11-01,2.5,560.666402
2021-12-01,3.8,581.971725
2022-01-01,3.9,604.668623
2022-02-01,4.7,633.088048
2022-03-01,6.7,675.504947
2022-04-01,6.0,716.035244
2022-05-01,5.1,752.553041
2022-06-01,5.3,792.438353
2022-07-01,7.4,851.078791
2022-08-01,7.0,910.654306
2022-09-01,6.2,967.114873
2022-10-01,6.3,1028.04311
2022-11-01,4.9,1078.417222
2022-12-01,5.1,1133.416501
2023-01-01,6.0,1201.421491
2023-02-01,6.6,1280.715309
2023-03-01,7.7,1379.330388
2023-04-01,8.4,1495.19414
2023-05-01,7.8,1611.819283
2023-06-01,6.0,1708.52844
2023-07-01,6.3,1816.165732
2023-08-01,12.4,2041.370283
2023-09-01,12.7,2300.624309
2023-10-01,8.3,2491.576126
2023-11-01,12.8,2810.497871
2023-12-01,25.5,3527.174828
2024-01-01,20.6,4253.772842
2024-02-01,13.2,4815.270857
2024-03-01,11.0,5344.950652
2024-04-01,8.8,5815.306309
2024-05-01,4.2,6059.549174
2024-06-01,4.6,6338.288436
2024-07-01,4.0,6591.819973
2024-08-01,4.2,6868.676412
2024-09-01,3.5,7109.080087
2024-10-01,2.7,7301.025249
2024-11-01,2.4,7476.249855
2024-12-01,2.7,7678.108601
2025-01-01,2.2,7847.02699
2025-02-01,2.4,8035.355638
2025-03-01,3.7,8332.663797
2025-04-01,2.8,8565.978383
2025-05-01,1.5,8694.468059
2025-06-01,1.6,8833.579548
2025-07-01,1.9,9001.417559
2025-08-01,1.9,9172.444493
2025-09-01,2.1,9365.065827
2025-10-01,2.3,9580.462341
2025-11-01,2.5,9819.9739
2025-12-01,2.8,10094.933169
2026-01-01,2.9,10387.686231
2026-02-01,2.9,10688.929131
2026-03-26,3.4,11052.352722
2026-04-26,2.6,11339.713893
2026-05-01,2.1,11577.847884
2026-06-01,1.9,11797.826994
2026-07-01,2.1,12045.581361
2026-08-01,1.7,12250.356244
