fecha,salario_total,privado_reg,privado_no_reg,publico,total_registrado
2016-10-01,100.0,100.0,100.0,100.0,100.0
2016-11-01,101.41,101.8,100.73,101.22,101.58
2016-12-01,102.79,102.89,103.2,102.37,102.69
2017-01-01,104.38,106.34,102.0,102.68,104.98
2017-02-01,105.76,107.69,104.94,103.08,105.97
2017-03-01,108.82,109.26,110.08,107.24,108.5
2017-04-01,112.63,112.93,114.61,110.81,112.14
2017-05-01,114.43,115.18,115.79,112.28,114.09
2017-06-01,116.45,117.23,116.24,115.3,116.51
2017-07-01,121.1,122.8,120.74,118.49,121.19
2017-08-01,123.95,124.55,126.06,121.54,123.43
2017-09-01,125.71,126.0,127.7,123.89,125.21
2017-10-01,127.62,128.23,128.5,126.03,127.4
2017-11-01,129.61,130.04,131.95,127.32,129.03
2017-12-01,131.03,131.01,135.71,127.94,129.86
2018-01-01,132.48,133.25,136.57,128.45,131.46
2018-02-01,133.59,134.31,138.19,129.32,132.44
2018-03-01,136.14,136.23,140.7,132.97,135.01
2018-04-01,139.81,141.01,144.0,135.01,138.77
2018-05-01,141.93,144.47,142.73,137.16,141.74
2018-06-01,143.14,146.47,141.02,138.97,143.67
2018-07-01,146.9,149.94,145.09,143.01,147.36
2018-08-01,151.05,154.2,148.81,147.26,151.61
2018-09-01,155.44,157.82,154.02,152.41,155.8
2018-10-01,161.12,163.86,156.63,159.53,162.24
2018-11-01,165.83,168.06,164.93,162.69,166.05
2018-12-01,169.94,170.85,172.61,166.66,169.29
2019-01-01,175.19,176.91,177.16,170.98,174.7
2019-02-01,179.84,181.76,181.72,175.37,179.37
2019-03-01,186.94,188.26,186.59,184.99,187.04
2019-04-01,191.11,193.47,188.85,188.65,191.67
2019-05-01,196.51,201.66,188.44,193.23,198.51
2019-06-01,200.44,206.99,188.78,197.23,203.34
2019-07-01,209.9,215.86,195.49,209.52,213.49
2019-08-01,215.02,221.87,200.52,213.21,218.63
2019-09-01,220.77,227.72,203.25,220.8,225.13
2019-10-01,227.92,236.31,207.5,227.45,233.0
2019-11-01,233.32,242.85,212.21,231.39,238.57
2019-12-01,239.44,246.54,223.54,238.13,243.4
2020-01-01,253.78,267.6,232.76,244.59,259.01
2020-02-01,263.55,279.97,240.22,251.57,269.36
2020-03-01,271.58,286.4,248.53,262.08,277.31
2020-04-01,272.03,285.74,250.23,263.54,277.45
2020-05-01,271.84,285.06,248.98,264.92,277.54
2020-06-01,273.47,285.44,252.74,267.19,278.62
2020-07-01,278.37,289.19,263.49,270.14,282.07
2020-08-01,283.92,295.13,273.32,272.2,286.56
2020-09-01,291.02,301.54,279.69,280.93,293.84
2020-10-01,302.94,317.66,285.74,289.72,307.22
2020-11-01,312.92,326.04,306.96,294.87,314.4
2020-12-01,318.42,331.26,310.78,301.97,320.32
2021-01-01,328.84,344.61,318.42,309.32,331.43
2021-02-01,343.06,362.33,327.43,321.14,346.94
2021-03-01,360.28,376.68,341.36,345.37,364.98
2021-04-01,371.84,394.54,346.34,350.74,378.18
2021-05-01,382.42,408.38,349.47,360.83,390.62
2021-06-01,391.16,415.55,353.54,375.32,400.52
2021-07-01,410.37,437.0,362.03,397.93,422.41
2021-08-01,423.41,451.64,371.24,410.82,436.4
2021-09-01,440.34,467.91,374.34,438.07,456.77
2021-10-01,458.07,485.29,395.51,454.12,473.64
2021-11-01,476.11,507.0,412.7,466.54,491.89
2021-12-01,488.33,514.34,436.8,479.05,501.16
2022-01-01,506.68,538.17,447.94,493.03,521.3
2022-02-01,522.56,559.01,457.61,504.7,538.72
2022-03-01,561.16,589.31,483.35,565.82,580.53
2022-04-01,589.01,622.29,517.48,580.87,606.82
2022-05-01,625.63,665.66,534.17,619.44,648.39
2022-06-01,655.94,699.36,558.71,647.9,680.14
2022-07-01,692.32,737.01,575.31,695.34,721.44
2022-08-01,737.46,797.04,606.44,724.84,770.07
2022-09-01,787.08,843.4,654.74,780.81,820.02
2022-10-01,827.54,888.1,675.21,827.5,865.46
2022-11-01,883.06,953.34,718.67,874.76,923.98
2022-12-01,929.56,996.62,722.55,955.04,981.09
2023-01-01,973.35,1042.37,771.21,992.3,1023.66
2023-02-01,1031.74,1114.31,825.87,1030.47,1082.99
2023-03-01,1136.04,1202.08,876.04,1198.55,1200.76
2023-04-01,1200.49,1284.57,918.51,1247.39,1270.68
2023-05-01,1290.46,1389.24,947.84,1353.08,1375.74
2023-06-01,1368.71,1468.48,1018.88,1434.49,1455.78
2023-07-01,1519.5,1626.81,1090.31,1625.51,1626.33
2023-08-01,1635.33,1762.46,1183.42,1723.25,1747.82
2023-09-01,1826.29,1995.58,1271.63,1911.97,1964.34
2023-10-01,1978.41,2169.81,1334.03,2086.82,2138.81
2023-11-01,2157.73,2385.55,1445.34,2250.34,2335.04
2023-12-01,2348.79,2648.87,1555.65,2374.02,2546.2
2024-01-01,2734.97,3178.28,1730.47,2660.85,2985.0
2024-02-01,3099.2,3625.42,1829.42,3062.83,3415.26
2024-03-01,3417.34,3987.49,2007.72,3400.49,3768.21
2024-04-01,3764.21,4464.6,2163.76,3656.07,4162.57
2024-05-01,4077.32,4807.34,2419.24,3957.89,4490.03
2024-06-01,4329.8,5129.04,2642.13,4113.99,4749.88
2024-07-01,4653.26,5450.78,3040.48,4390.43,5054.69
2024-08-01,4916.19,5725.38,3362.05,4594.73,5303.03
2024-09-01,5147.61,5941.03,3710.18,4774.83,5505.4
2024-10-01,5383.96,6175.77,3994.36,4982.02,5729.85
2024-11-01,5591.0,6378.33,4319.74,5117.7,5907.43
2024-12-01,5765.54,6556.47,4615.04,5205.72,6051.9
2025-01-01,5934.47,6707.3,5010.83,5253.88,6164.38
2025-02-01,6161.52,6862.13,5408.11,5488.58,6349.04
2025-03-01,6344.81,7010.54,5684.22,5668.51,6509.23
2025-04-01,6559.31,7187.95,6121.0,5797.13,6668.41
2025-05-01,6755.22,7329.99,6461.52,5987.03,6828.33
2025-06-01,6956.46,7457.02,7036.25,6063.83,6936.6
2025-07-01,7129.22,7619.01,7287.87,6202.12,7089.73
2025-08-01,7354.44,7789.94,7727.8,6375.31,7261.51
2025-09-01,7518.03,7896.9,8170.41,6447.94,7355.64
2025-10-01,7705.88,8061.11,8516.86,6569.76,7504.02
2025-11-01,7843.14,8232.68,8660.37,6645.32,7639.72
2025-12-01,7969.6,8441.0,8672.31,6710.79,7794.68
2026-01-01,8171.66,8620.98,9050.9,6832.27,7952.81
2026-02-01,8370.04,8755.26,9469.49,6991.42,8096.38
2026-03-01,8654.99,8935.48,9916.02,7344.33,8341.11
